bin_center	count
-8.43873454932003	1
-8.257955107609481	0
-8.077175665898933	0
-7.8963962241883845	0
-7.715616782477836	0
-7.534837340767288	0
-7.354057899056739	0
-7.173278457346192	1
-6.9924990156356435	1
-6.811719573925095	0
-6.630940132214547	1
-6.450160690503998	0
-6.26938124879345	2
-6.088601807082902	3
-5.907822365372354	8
-5.727042923661806	7
-5.546263481951257	2
-5.365484040240709	3
-5.1847045985301605	7
-5.003925156819612	10
-4.823145715109064	6
-4.642366273398515	11
-4.461586831687967	15
-4.280807389977419	18
-4.10002794826687	19
-3.919248506556322	25
-3.738469064845774	20
-3.557689623135226	36
-3.3769101814246776	59
-3.196130739714129	67
-3.015351298003581	73
-2.8345718562930324	110
-2.653792414582484	138
-2.4730129728719357	128
-2.2922335311613873	199
-2.111454089450839	234
-1.9306746477402905	257
-1.7498952060297426	347
-1.5691157643191946	470
-1.3883363226086463	564
-1.2075568808980979	753
-1.0267774391875495	991
-0.8459979974770011	1396
-0.6652185557664527	1908
-0.48443911405590434	2711
-0.30365967234535596	4427
-0.12288023063480757	7957
0.05789921107574081	10599
0.2386786527862892	5219
0.4194580944968376	3084
0.600237536207386	2012
0.7810169779179343	1371
0.9617964196284827	977
1.1425758613390302	795
1.3233553030495777	597
1.504134744760126	432
1.6849141864706745	366
1.8656936281812229	251
2.0464730698917712	246
2.2272525116023196	210
2.408031953312868	147
2.5888113950234164	131
2.769590836733965	98
2.950370278444513	77
3.1311497201550615	65
3.31192916186561	61
3.4927086035761583	50
3.6734880452867067	33
3.854267486997255	31
4.0350469287078035	24
4.215826370418352	8
4.3966058121289	16
4.577385253839449	16
4.758164695549997	12
4.9389441372605445	7
5.119723578971092	11
5.30050302068164	9
5.481282462392189	7
5.662061904102737	9
5.8428413458132855	3
6.023620787523834	6
6.204400229234382	7
6.385179670944931	3
6.565959112655479	7
6.746738554366027	3
6.927517996076576	2
7.108297437787124	2
7.289076879497673	1
7.469856321208221	2
7.650635762918769	1
7.831415204629318	2
8.012194646339866	1
8.192974088050414	1
8.373753529760963	0
8.554532971471511	1
8.73531241318206	0
8.916091854892608	0
9.096871296603156	1
9.277650738313705	0
9.458430180024251	1
